Day,Scenario,Susceptible,Exposed,Infectious,Recovered,Quarantined,Active_Infections,Reff
184.70000000000002,Worst-Case,598.7730436616313,0.09052742540235309,0.02277482060877393,287.9619640722807,113.1516900200767,0.02277482060877393,0.077877230218568
184.8,Worst-Case,598.7730024169152,0.0901384904975909,0.022675388208037446,287.9622889876313,113.15189471674759,0.022675388208037446,0.07787722485422456
184.9,Worst-Case,598.7729613458816,0.08975122618307947,0.022576341707330524,287.9626125347778,113.15209855144988,0.022576341707330524,0.07787721951247051
185.0,Worst-Case,598.7729204481087,0.08936562525881733,0.022477683311588056,287.9629347170434,113.15230152627723,0.022477683311588056,0.07787721419325096
185.10000000000002,Worst-Case,598.7728797231703,0.0889816805529189,0.022379415148665344,287.96325553778405,113.15250364334382,0.022379415148665344,0.07787720889651051
185.20000000000002,Worst-Case,598.7728391706363,0.08859938492161486,0.0222815392693382,287.9635750003881,113.15270490478439,0.0222815392693382,0.07787720362219319
185.3,Worst-Case,598.7727987900723,0.08821873124925154,0.022184057647302777,287.96389310827664,113.15290531275416,0.022184057647302777,0.07787719837024253
185.4,Worst-Case,598.7727585810402,0.08783971244829138,0.022086972179175688,287.96420986490324,113.15310486942892,0.022086972179175688,0.07787719314060154
185.5,Worst-Case,598.772718543097,0.08746232145931274,0.021990284684493974,287.964525273754,113.15330357700492,0.021990284684493974,0.07787718793321262
185.60000000000002,Worst-Case,598.7726786757962,0.08708655125100984,0.021893996905715078,287.9648393383478,113.15350143769898,0.021893996905715078,0.07787718274801768
185.70000000000002,Worst-Case,598.772638978687,0.08671239482019322,0.021798110508216947,287.96515206223586,113.15369845374843,0.021798110508216947,0.07787717758495807
185.8,Worst-Case,598.7725994513145,0.08633984519178903,0.021702627080297878,287.965463449002,113.15389462741115,0.021702627080297878,0.07787717244397464
185.9,Worst-Case,598.7725600932195,0.08596889541883954,0.021607548133176627,287.9657735022629,113.15408996096548,0.021607548133176627,0.07787716732500768
186.0,Worst-Case,598.7725209039386,0.08559953858250292,0.02151287510099237,287.9660822256674,113.15428445671033,0.02151287510099237,0.07787716222799694
186.10000000000002,Worst-Case,598.7724818830046,0.08523176779205327,0.0214186093408047,287.9663896228972,113.15447811696511,0.0214186093408047,0.07787715715288158
186.20000000000002,Worst-Case,598.772443029946,0.08486557618488091,0.0213247521325937,287.9666956976665,113.15467094406979,0.0213247521325937,0.07787715209960033
